index,country,year,month_str,month_int,quarter,immigration_flow
0,Afghanistan,2015,Feb,2,Q1,125
1,Albania,2015,Feb,2,Q1,25
2,Algeria,2015,Feb,2,Q1,125
3,Antigua and Barbuda,2015,Feb,2,Q1,5
4,Argentina,2015,Feb,2,Q1,15
5,Armenia,2015,Feb,2,Q1,10
6,Australia,2015,Feb,2,Q1,70
7,Austria,2015,Feb,2,Q1,10
8,Azerbaijan,2015,Feb,2,Q1,10
9,"Bahamas, The",2015,Feb,2,Q1,10
10,Bahrain,2015,Feb,2,Q1,5
11,Bangladesh,2015,Feb,2,Q1,145
12,Barbados,2015,Feb,2,Q1,10
13,Belarus,2015,Feb,2,Q1,15
14,Belgium,2015,Feb,2,Q1,15
15,Belize,2015,Feb,2,Q1,0
16,Benin,2015,Feb,2,Q1,15
17,Bhutan,2015,Feb,2,Q1,10
18,Bolivia,2015,Feb,2,Q1,15
19,Bosnia and Herzegovina,2015,Feb,2,Q1,10
20,Botswana,2015,Feb,2,Q1,5
21,Brazil,2015,Feb,2,Q1,115
22,Bulgaria,2015,Feb,2,Q1,10
23,Burkina Faso,2015,Feb,2,Q1,10
24,Burundi,2015,Feb,2,Q1,10
25,Cambodia,2015,Feb,2,Q1,5
26,Cameroon,2015,Feb,2,Q1,85
27,Central African Republic,2015,Feb,2,Q1,15
28,Chad,2015,Feb,2,Q1,0
29,Chile,2015,Feb,2,Q1,5
30,China,2015,Feb,2,Q1,1570
31,Colombia,2015,Feb,2,Q1,200
32,Comoros,2015,Feb,2,Q1,0
33,"Congo, Dem. Rep.",2015,Feb,2,Q1,105
34,"Congo, Rep.",2015,Feb,2,Q1,0
35,Costa Rica,2015,Feb,2,Q1,10
36,Croatia,2015,Feb,2,Q1,20
37,Cuba,2015,Feb,2,Q1,75
38,Cyprus,2015,Feb,2,Q1,0
39,Czechia,2015,Feb,2,Q1,25
40,Denmark,2015,Feb,2,Q1,5
41,Djibouti,2015,Feb,2,Q1,5
42,Dominica,2015,Feb,2,Q1,0
43,Dominican Republic,2015,Feb,2,Q1,35
44,Ecuador,2015,Feb,2,Q1,10
