EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_COUNTRY_OF_CITIZENSHIP	FR_PAYS_DE_CITOYENNETÉ	TOTAL
2015	Q1	Feb	2015	T1	fév.	Afghanistan	Afghanistan	125
2015	Q1	Feb	2015	T1	fév.	Albania	Albanie	25
2015	Q1	Feb	2015	T1	fév.	Algeria	Algérie	125
2015	Q1	Feb	2015	T1	fév.	Antigua and Barbuda	Antigua-et-Barbuda	5
2015	Q1	Feb	2015	T1	fév.	Argentina	Argentine	15
2015	Q1	Feb	2015	T1	fév.	Armenia	Arménie	10
2015	Q1	Feb	2015	T1	fév.	Australia	Australie	70
2015	Q1	Feb	2015	T1	fév.	Austria	Autriche	10
2015	Q1	Feb	2015	T1	fév.	Azerbaijan	Azerbaïdjan	10
2015	Q1	Feb	2015	T1	fév.	Bahama Islands, The	Bahamas	10
2015	Q1	Feb	2015	T1	fév.	Bahrain	Bahreïn	5
2015	Q1	Feb	2015	T1	fév.	Bangladesh	Bangladesh	145
2015	Q1	Feb	2015	T1	fév.	Barbados	Barbade	10
2015	Q1	Feb	2015	T1	fév.	Belarus	Bélarus	15
2015	Q1	Feb	2015	T1	fév.	Belgium	Belgique	15
2015	Q1	Feb	2015	T1	fév.	Belize	Bélize	--
2015	Q1	Feb	2015	T1	fév.	Benin, Republic of	Bénin, République du	15
2015	Q1	Feb	2015	T1	fév.	Bhutan	Bhoutan	10
2015	Q1	Feb	2015	T1	fév.	Bolivia	Bolivie	15
2015	Q1	Feb	2015	T1	fév.	Bosnia-Herzegovina	Bosnie-Herzégovine	10
2015	Q1	Feb	2015	T1	fév.	Botswana, Republic of	Botswana, République du	5
2015	Q1	Feb	2015	T1	fév.	Brazil	Brésil	115
2015	Q1	Feb	2015	T1	fév.	Bulgaria	Bulgarie	10
2015	Q1	Feb	2015	T1	fév.	Burkina-Faso	Burkina Faso	10
2015	Q1	Feb	2015	T1	fév.	Burundi	Burundi	10
2015	Q1	Feb	2015	T1	fév.	Cambodia	Cambodge	5
2015	Q1	Feb	2015	T1	fév.	Cameroon, Federal Republic of	Cameroun, République fédérale du	85
2015	Q1	Feb	2015	T1	fév.	Central African Republic	République centrafricaine	15
2015	Q1	Feb	2015	T1	fév.	Chad, Republic of	Tchad, République du	--
2015	Q1	Feb	2015	T1	fév.	Chile	Chili	5
2015	Q1	Feb	2015	T1	fév.	China, People's Republic of	Chine, République populaire de	1570
2015	Q1	Feb	2015	T1	fév.	Colombia	Colombie	200
2015	Q1	Feb	2015	T1	fév.	Comoros	Comores, Les	--
2015	Q1	Feb	2015	T1	fév.	Congo, Democratic Republic of the	Congo, République Démocratique du	105
2015	Q1	Feb	2015	T1	fév.	Congo, People's Republic of the	Congo, République Populaire du	--
2015	Q1	Feb	2015	T1	fév.	Costa Rica	Costa Rica	10
2015	Q1	Feb	2015	T1	fév.	Croatia	Croatie	20
2015	Q1	Feb	2015	T1	fév.	Cuba	Cuba	75
2015	Q1	Feb	2015	T1	fév.	Cyprus	Chypre	--
2015	Q1	Feb	2015	T1	fév.	Czech Republic	République tchèque	25
2015	Q1	Feb	2015	T1	fév.	Denmark	Danemark	5
2015	Q1	Feb	2015	T1	fév.	Djibouti, Republic of	Djibouti, République de	5
2015	Q1	Feb	2015	T1	fév.	Dominica	Dominique	--
2015	Q1	Feb	2015	T1	fév.	Dominican Republic	République dominicaine	35
2015	Q1	Feb	2015	T1	fév.	Ecuador	Équateur	10
2015	Q1	Feb	2015	T1	fév.	Egypt	Égypte	165
2015	Q1	Feb	2015	T1	fév.	El Salvador	El Salvador	25
2015	Q1	Feb	2015	T1	fév.	Eritrea	Érythrée	170
2015	Q1	Feb	2015	T1	fév.	Ethiopia	Éthiopie	85
2015	Q1	Feb	2015	T1	fév.	Fiji	Fidji	25
2015	Q1	Feb	2015	T1	fév.	Finland	Finlande	--
2015	Q1	Feb	2015	T1	fév.	France	France	315
2015	Q1	Feb	2015	T1	fév.	Gambia	Gambie	--
2015	Q1	Feb	2015	T1	fév.	Georgia	Géorgie	--
2015	Q1	Feb	2015	T1	fév.	Germany	Allemagne	65
2015	Q1	Feb	2015	T1	fév.	Ghana	Ghana	45
2015	Q1	Feb	2015	T1	fév.	Greece	Grèce	30
2015	Q1	Feb	2015	T1	fév.	Grenada	Grenade	10
2015	Q1	Feb	2015	T1	fév.	Guatemala	Guatemala	5
2015	Q1	Feb	2015	T1	fév.	Guinea, Republic of	Guinée, République de	15
2015	Q1	Feb	2015	T1	fév.	Guyana	Guyane	35
2015	Q1	Feb	2015	T1	fév.	Haiti	Haïti	130
2015	Q1	Feb	2015	T1	fév.	Honduras	Honduras	20
2015	Q1	Feb	2015	T1	fév.	Hong Kong SAR	RAS Hong Kong	65
2015	Q1	Feb	2015	T1	fév.	Hungary	Hongrie	35
2015	Q1	Feb	2015	T1	fév.	Iceland	Islande	--
2015	Q1	Feb	2015	T1	fév.	India	Inde	1980
2015	Q1	Feb	2015	T1	fév.	Indonesia, Republic of	Indonésie, République d'	10
2015	Q1	Feb	2015	T1	fév.	Iran	Iran	1050
2015	Q1	Feb	2015	T1	fév.	Iraq	Iraq	190
2015	Q1	Feb	2015	T1	fév.	Ireland, Republic of	Irlande, République d'	85
2015	Q1	Feb	2015	T1	fév.	Israel	Israël	115
2015	Q1	Feb	2015	T1	fév.	Italy	Italie	35
2015	Q1	Feb	2015	T1	fév.	Ivory Coast, Republic of	Côte-d'Ivoire, République  de la	55
2015	Q1	Feb	2015	T1	fév.	Jamaica	Jamaïque	175
2015	Q1	Feb	2015	T1	fév.	Japan	Japon	65
2015	Q1	Feb	2015	T1	fév.	Jordan	Jordanie	65
2015	Q1	Feb	2015	T1	fév.	Kazakhstan	Kazakhstan	15
2015	Q1	Feb	2015	T1	fév.	Kenya	Kenya	20
2015	Q1	Feb	2015	T1	fév.	Korea, Republic of	Corée, République de	235
2015	Q1	Feb	2015	T1	fév.	Kosovo, Republic of	Kosovo, République du	25
2015	Q1	Feb	2015	T1	fév.	Kyrgyzstan	Kirghizistan	--
2015	Q1	Feb	2015	T1	fév.	Laos	Laos	--
2015	Q1	Feb	2015	T1	fév.	Latvia	Lettonie	5
2015	Q1	Feb	2015	T1	fév.	Lebanon	Liban	85
2015	Q1	Feb	2015	T1	fév.	Liberia	Libéria	5
2015	Q1	Feb	2015	T1	fév.	Libya	Libye	10
2015	Q1	Feb	2015	T1	fév.	Lithuania	Lituanie	5
2015	Q1	Feb	2015	T1	fév.	Macau SAR	RAS Macao	--
2015	Q1	Feb	2015	T1	fév.	Macedonia	Macédoine	15
2015	Q1	Feb	2015	T1	fév.	Madagascar	Madagascar	--
2015	Q1	Feb	2015	T1	fév.	Malaysia	Malaisie	25
2015	Q1	Feb	2015	T1	fév.	Maldives, Republic of	Maldives, République des	--
2015	Q1	Feb	2015	T1	fév.	Mali, Republic of	Mali, République du	10
2015	Q1	Feb	2015	T1	fév.	Mauritania	Mauritanie	5
2015	Q1	Feb	2015	T1	fév.	Mauritius	Maurice	15
2015	Q1	Feb	2015	T1	fév.	Mexico	Mexique	185
2015	Q1	Feb	2015	T1	fév.	Moldova	Moldavie	25
2015	Q1	Feb	2015	T1	fév.	Mongolia, People's Republic of	Mongolie, République Populaire de	--
2015	Q1	Feb	2015	T1	fév.	Montenegro, Republic of	Monténégro, République du	--
2015	Q1	Feb	2015	T1	fév.	Morocco	Maroc	155
2015	Q1	Feb	2015	T1	fév.	Myanmar (Burma)	Myanmar (Birmanie)	25
2015	Q1	Feb	2015	T1	fév.	Namibia	Namibie	--
2015	Q1	Feb	2015	T1	fév.	Nepal	Népal	40
2015	Q1	Feb	2015	T1	fév.	Netherlands, The	Pays-Bas	20
2015	Q1	Feb	2015	T1	fév.	New Zealand	Nouvelle-Zélande	15
2015	Q1	Feb	2015	T1	fév.	Nicaragua	Nicaragua	5
2015	Q1	Feb	2015	T1	fév.	Niger, Republic of the	Niger, République du	--
2015	Q1	Feb	2015	T1	fév.	Nigeria	Nigéria	310
2015	Q1	Feb	2015	T1	fév.	Norway	Norvège	5
2015	Q1	Feb	2015	T1	fév.	Pakistan	Pakistan	705
2015	Q1	Feb	2015	T1	fév.	Palestinian Authority (Gaza/West Bank)	Autorité palestinienne (Gaza/Cisjordanie)	20
2015	Q1	Feb	2015	T1	fév.	Panama, Republic of	Panama, République du	5
2015	Q1	Feb	2015	T1	fév.	Paraguay	Paraguay	--
2015	Q1	Feb	2015	T1	fév.	Peru	Pérou	30
2015	Q1	Feb	2015	T1	fév.	Philippines	Philippines	3880
2015	Q1	Feb	2015	T1	fév.	Poland	Pologne	60
2015	Q1	Feb	2015	T1	fév.	Portugal	Portugal	40
2015	Q1	Feb	2015	T1	fév.	Romania	Roumanie	90
2015	Q1	Feb	2015	T1	fév.	Russia	Russie	95
2015	Q1	Feb	2015	T1	fév.	Rwanda	Rwanda	15
2015	Q1	Feb	2015	T1	fév.	Samoa, Independent State of	Samoa, Etat independant du	--
2015	Q1	Feb	2015	T1	fév.	Saudi Arabia	Arabie Saoudite	5
2015	Q1	Feb	2015	T1	fév.	Senegal	Sénégal	45
