,EN_YEAR,EN_QUARTER,EN_MONTH,FR_ANNEÉ,FR_TRIMESTRE,FR_MOIS,EN_COUNTRY_OF_CITIZENSHIP,FR_PAYS_DE_CITOYENNETÉ,TOTAL
0,2015,Q1,Feb,2015,T1,fév.,Afghanistan,Afghanistan,125
1,2015,Q1,Feb,2015,T1,fév.,Albania,Albanie,25
2,2015,Q1,Feb,2015,T1,fév.,Algeria,Algérie,125
3,2015,Q1,Feb,2015,T1,fév.,Antigua and Barbuda,Antigua-et-Barbuda,5
4,2015,Q1,Feb,2015,T1,fév.,Argentina,Argentine,15
5,2015,Q1,Feb,2015,T1,fév.,Armenia,Arménie,10
6,2015,Q1,Feb,2015,T1,fév.,Australia,Australie,70
7,2015,Q1,Feb,2015,T1,fév.,Austria,Autriche,10
8,2015,Q1,Feb,2015,T1,fév.,Azerbaijan,Azerbaïdjan,10
9,2015,Q1,Feb,2015,T1,fév.,"Bahama Islands, The",Bahamas,10
10,2015,Q1,Feb,2015,T1,fév.,Bahrain,Bahreïn,5
11,2015,Q1,Feb,2015,T1,fév.,Bangladesh,Bangladesh,145
12,2015,Q1,Feb,2015,T1,fév.,Barbados,Barbade,10
13,2015,Q1,Feb,2015,T1,fév.,Belarus,Bélarus,15
14,2015,Q1,Feb,2015,T1,fév.,Belgium,Belgique,15
15,2015,Q1,Feb,2015,T1,fév.,Belize,Bélize,--
16,2015,Q1,Feb,2015,T1,fév.,"Benin, Republic of","Bénin, République du",15
17,2015,Q1,Feb,2015,T1,fév.,Bhutan,Bhoutan,10
18,2015,Q1,Feb,2015,T1,fév.,Bolivia,Bolivie,15
19,2015,Q1,Feb,2015,T1,fév.,Bosnia-Herzegovina,Bosnie-Herzégovine,10
20,2015,Q1,Feb,2015,T1,fév.,"Botswana, Republic of","Botswana, République du",5
21,2015,Q1,Feb,2015,T1,fév.,Brazil,Brésil,115
22,2015,Q1,Feb,2015,T1,fév.,Bulgaria,Bulgarie,10
23,2015,Q1,Feb,2015,T1,fév.,Burkina-Faso,Burkina Faso,10
24,2015,Q1,Feb,2015,T1,fév.,Burundi,Burundi,10
25,2015,Q1,Feb,2015,T1,fév.,Cambodia,Cambodge,5
26,2015,Q1,Feb,2015,T1,fév.,"Cameroon, Federal Republic of","Cameroun, République fédérale du",85
27,2015,Q1,Feb,2015,T1,fév.,Central African Republic,République centrafricaine,15
28,2015,Q1,Feb,2015,T1,fév.,"Chad, Republic of","Tchad, République du",--
29,2015,Q1,Feb,2015,T1,fév.,Chile,Chili,5
30,2015,Q1,Feb,2015,T1,fév.,"China, People's Republic of","Chine, République populaire de",1570
31,2015,Q1,Feb,2015,T1,fév.,Colombia,Colombie,200
32,2015,Q1,Feb,2015,T1,fév.,Comoros,"Comores, Les",--
33,2015,Q1,Feb,2015,T1,fév.,"Congo, Democratic Republic of the","Congo, République Démocratique du",105
34,2015,Q1,Feb,2015,T1,fév.,"Congo, People's Republic of the","Congo, République Populaire du",--
35,2015,Q1,Feb,2015,T1,fév.,Costa Rica,Costa Rica,10
36,2015,Q1,Feb,2015,T1,fév.,Croatia,Croatie,20
37,2015,Q1,Feb,2015,T1,fév.,Cuba,Cuba,75
38,2015,Q1,Feb,2015,T1,fév.,Cyprus,Chypre,--
39,2015,Q1,Feb,2015,T1,fév.,Czech Republic,République tchèque,25
40,2015,Q1,Feb,2015,T1,fév.,Denmark,Danemark,5
41,2015,Q1,Feb,2015,T1,fév.,"Djibouti, Republic of","Djibouti, République de",5
42,2015,Q1,Feb,2015,T1,fév.,Dominica,Dominique,--
43,2015,Q1,Feb,2015,T1,fév.,Dominican Republic,République dominicaine,35
44,2015,Q1,Feb,2015,T1,fév.,Ecuador,Équateur,10
45,2015,Q1,Feb,2015,T1,fév.,Egypt,Égypte,165
46,2015,Q1,Feb,2015,T1,fév.,El Salvador,El Salvador,25
47,2015,Q1,Feb,2015,T1,fév.,Eritrea,Érythrée,170
48,2015,Q1,Feb,2015,T1,fév.,Ethiopia,Éthiopie,85
49,2015,Q1,Feb,2015,T1,fév.,Fiji,Fidji,25
50,2015,Q1,Feb,2015,T1,fév.,Finland,Finlande,--
51,2015,Q1,Feb,2015,T1,fév.,France,France,315
52,2015,Q1,Feb,2015,T1,fév.,Gambia,Gambie,--
53,2015,Q1,Feb,2015,T1,fév.,Georgia,Géorgie,--
54,2015,Q1,Feb,2015,T1,fév.,Germany,Allemagne,65
55,2015,Q1,Feb,2015,T1,fév.,Ghana,Ghana,45
56,2015,Q1,Feb,2015,T1,fév.,Greece,Grèce,30
57,2015,Q1,Feb,2015,T1,fév.,Grenada,Grenade,10
58,2015,Q1,Feb,2015,T1,fév.,Guatemala,Guatemala,5
59,2015,Q1,Feb,2015,T1,fév.,"Guinea, Republic of","Guinée, République de",15
60,2015,Q1,Feb,2015,T1,fév.,Guyana,Guyane,35
61,2015,Q1,Feb,2015,T1,fév.,Haiti,Haïti,130
62,2015,Q1,Feb,2015,T1,fév.,Honduras,Honduras,20
63,2015,Q1,Feb,2015,T1,fév.,Hong Kong SAR,RAS Hong Kong,65
64,2015,Q1,Feb,2015,T1,fév.,Hungary,Hongrie,35
65,2015,Q1,Feb,2015,T1,fév.,Iceland,Islande,--
66,2015,Q1,Feb,2015,T1,fév.,India,Inde,1980
67,2015,Q1,Feb,2015,T1,fév.,"Indonesia, Republic of","Indonésie, République d'",10
68,2015,Q1,Feb,2015,T1,fév.,Iran,Iran,1050
69,2015,Q1,Feb,2015,T1,fév.,Iraq,Iraq,190
70,2015,Q1,Feb,2015,T1,fév.,"Ireland, Republic of","Irlande, République d'",85
71,2015,Q1,Feb,2015,T1,fév.,Israel,Israël,115
72,2015,Q1,Feb,2015,T1,fév.,Italy,Italie,35
73,2015,Q1,Feb,2015,T1,fév.,"Ivory Coast, Republic of","Côte-d'Ivoire, République  de la",55
74,2015,Q1,Feb,2015,T1,fév.,Jamaica,Jamaïque,175
75,2015,Q1,Feb,2015,T1,fév.,Japan,Japon,65
76,2015,Q1,Feb,2015,T1,fév.,Jordan,Jordanie,65
77,2015,Q1,Feb,2015,T1,fév.,Kazakhstan,Kazakhstan,15
78,2015,Q1,Feb,2015,T1,fév.,Kenya,Kenya,20
79,2015,Q1,Feb,2015,T1,fév.,"Korea, Republic of","Corée, République de",235
80,2015,Q1,Feb,2015,T1,fév.,"Kosovo, Republic of","Kosovo, République du",25
81,2015,Q1,Feb,2015,T1,fév.,Kyrgyzstan,Kirghizistan,--
82,2015,Q1,Feb,2015,T1,fév.,Laos,Laos,--
83,2015,Q1,Feb,2015,T1,fév.,Latvia,Lettonie,5
84,2015,Q1,Feb,2015,T1,fév.,Lebanon,Liban,85
85,2015,Q1,Feb,2015,T1,fév.,Liberia,Libéria,5
86,2015,Q1,Feb,2015,T1,fév.,Libya,Libye,10
87,2015,Q1,Feb,2015,T1,fév.,Lithuania,Lituanie,5
88,2015,Q1,Feb,2015,T1,fév.,Macau SAR,RAS Macao,--
89,2015,Q1,Feb,2015,T1,fév.,Macedonia,Macédoine,15
90,2015,Q1,Feb,2015,T1,fév.,Madagascar,Madagascar,--
91,2015,Q1,Feb,2015,T1,fév.,Malaysia,Malaisie,25
92,2015,Q1,Feb,2015,T1,fév.,"Maldives, Republic of","Maldives, République des",--
93,2015,Q1,Feb,2015,T1,fév.,"Mali, Republic of","Mali, République du",10
94,2015,Q1,Feb,2015,T1,fév.,Mauritania,Mauritanie,5
95,2015,Q1,Feb,2015,T1,fév.,Mauritius,Maurice,15
96,2015,Q1,Feb,2015,T1,fév.,Mexico,Mexique,185
97,2015,Q1,Feb,2015,T1,fév.,Moldova,Moldavie,25
98,2015,Q1,Feb,2015,T1,fév.,"Mongolia, People's Republic of","Mongolie, République Populaire de",--
99,2015,Q1,Feb,2015,T1,fév.,"Montenegro, Republic of","Monténégro, République du",--
100,2015,Q1,Feb,2015,T1,fév.,Morocco,Maroc,155
101,2015,Q1,Feb,2015,T1,fév.,Myanmar (Burma),Myanmar (Birmanie),25
102,2015,Q1,Feb,2015,T1,fév.,Namibia,Namibie,--
103,2015,Q1,Feb,2015,T1,fév.,Nepal,Népal,40
104,2015,Q1,Feb,2015,T1,fév.,"Netherlands, The",Pays-Bas,20
105,2015,Q1,Feb,2015,T1,fév.,New Zealand,Nouvelle-Zélande,15
106,2015,Q1,Feb,2015,T1,fév.,Nicaragua,Nicaragua,5
107,2015,Q1,Feb,2015,T1,fév.,"Niger, Republic of the","Niger, République du",--
108,2015,Q1,Feb,2015,T1,fév.,Nigeria,Nigéria,310
109,2015,Q1,Feb,2015,T1,fév.,Norway,Norvège,5
110,2015,Q1,Feb,2015,T1,fév.,Pakistan,Pakistan,705
111,2015,Q1,Feb,2015,T1,fév.,Palestinian Authority (Gaza/West Bank),Autorité palestinienne (Gaza/Cisjordanie),20
112,2015,Q1,Feb,2015,T1,fév.,"Panama, Republic of","Panama, République du",5
113,2015,Q1,Feb,2015,T1,fév.,Paraguay,Paraguay,--
114,2015,Q1,Feb,2015,T1,fév.,Peru,Pérou,30
115,2015,Q1,Feb,2015,T1,fév.,Philippines,Philippines,3880
116,2015,Q1,Feb,2015,T1,fév.,Poland,Pologne,60
117,2015,Q1,Feb,2015,T1,fév.,Portugal,Portugal,40
